ID,Start time,Completion time,Email,Name,Last modified time,"What is your gender identity?
","Which races or ethnicities best describe you?
","Which of these other identities also describe you?
",What is your major/grad program?,"What year are you?
",UCSD Basic Needs Hub,Triton Food Pantry (TFP),Food Recovery Network (FRN),UCSD Calfresh Team,Triton Food Pantry (TFP)2,Food Recovery Network (FRN)2,UCSD Calfresh Team2,"Have you applied for Calfresh benefits? (Calfresh may also be known as EBT or Food Stamps)
",Were you approved for Calfresh benefits?,"Did you get assistance from the UCSD Calfresh Team when applying?
",Is there any other feedback on Basic Needs services you would like to share?
2,2/15/24 11:18:51,2/15/24 11:19:37,anonymous,,,Man,Asian;,LGBTQIA+;First Generation Student;,Computer Science and Engineering,1st year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
3,2/15/24 11:25:23,2/15/24 11:26:42,anonymous,,,Woman,Hispanic or Latino;,LGBTQIA+;,Biological Sciences,1st year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,"Yes, from the website",
4,2/15/24 11:26:12,2/15/24 11:27:18,anonymous,,,Man,Asian;,LGBTQIA+;First Generation Student;,Computer Science and Engineering,4th year,I've never heard of this service.,I have heard of this service and used it.,I've never heard of this service.,"I have heard of this service, but never used it.",I was not food insecure when I used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
5,2/15/24 11:27:39,2/15/24 11:28:18,anonymous,,,Man,Asian;,,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,No
6,2/15/24 11:32:12,2/15/24 11:32:49,anonymous,,,Non-binary,White;Asian;Hispanic or Latino;,LGBTQIA+;,Mathematics,2nd year,I've never heard of this service.,I have heard of this service and used it.,I've never heard of this service.,I've never heard of this service.,I was not food insecure when I used this service.,I've never used this service.,I've never used this service.,No,,,
7,2/15/24 11:32:36,2/15/24 11:33:02,anonymous,,,Man,Asian;,,Computer Science and Engineering,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
8,2/15/24 11:45:06,2/15/24 11:46:02,anonymous,,,Woman,White;,,Computer Science and Engineering,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
9,2/15/24 11:45:45,2/15/24 11:46:23,anonymous,,,Man,Asian;,,Mathematics,2nd year,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,Yes,No,No,
10,2/15/24 11:51:12,2/15/24 11:52:16,anonymous,,,Woman,Asian;,International Student;,Biological Sciences,3rd year ,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
11,2/15/24 11:54:13,2/15/24 11:54:55,anonymous,,,Woman,Asian;,,Mechanical and Aerospace Engineering,1st year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
12,2/15/24 11:54:44,2/15/24 11:55:41,anonymous,,,Non-binary,Asian;,,Visual Arts,4th year,"I have heard of this service, but never used it.",I have heard of this service and used it.,I've never heard of this service.,I've never heard of this service.,This service somewhat reduced my food insecurity.,I've never used this service.,I've never used this service.,No,,,
13,2/15/24 11:55:19,2/15/24 11:56:07,anonymous,,,Woman,Asian;,,Bioengineering,1st year,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
14,2/15/24 11:56:16,2/15/24 11:56:52,anonymous,,,Woman,Asian;,,Biological Sciences,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
15,2/15/24 11:57:07,2/15/24 11:57:47,anonymous,,,Non-binary,Hispanic or Latino;White;,LGBTQIA+;,Cognitive Science,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
16,2/15/24 11:56:47,2/15/24 11:58:05,anonymous,,,Woman,Hispanic or Latino;,LGBTQIA+;First Generation Student;,Literature,4th year,"I have heard of this service, but never used it.",I have heard of this service and used it.,I've never heard of this service.,I've never heard of this service.,This service somewhat reduced my food insecurity.,I've never used this service.,I've never used this service.,Yes,No,No,
17,2/15/24 12:01:02,2/15/24 12:01:53,anonymous,,,Man,White;,Transfer Student;,Electrical and Computer Engineering,4th year,I've never heard of this service.,I have heard of this service and used it.,I've never heard of this service.,I've never heard of this service.,This service did not reduce my food insecurity.,I've never used this service.,I've never used this service.,No,,,
18,2/15/24 12:02:08,2/15/24 12:03:17,anonymous,,,Other,Hispanic or Latino;,LGBTQIA+;,Chemistry or Biochemistry,2nd year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
19,2/15/24 12:03:52,2/15/24 12:04:46,anonymous,,,Woman,Asian;,,Mathematics,2nd year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
20,2/15/24 12:04:29,2/15/24 12:04:53,anonymous,,,Woman,Asian;White;,LGBTQIA+;,Psychology,4th year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
21,2/15/24 12:06:23,2/15/24 12:07:01,anonymous,,,Woman,White;,LGBTQIA+;,Cognitive Science,3rd year ,"I have heard of this service, but never used it.","I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
22,2/15/24 12:06:44,2/15/24 12:07:15,anonymous,,,Man,Asian;,LGBTQIA+;,Cognitive Science,2nd year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,No,,,
23,2/15/24 12:06:13,2/15/24 12:07:48,anonymous,,,Man,Hispanic or Latino;,Transfer Student;,Mathematics,4th year,I have heard of this service and used it.,"I have heard of this service, but never used it.",I've never heard of this service.,I have heard of this service and used it.,I've never used this service.,I've never used this service.,This service somewhat reduced my food insecurity.,Yes,Yes,"Yes, from the website",
24,2/15/24 12:12:13,2/15/24 12:12:53,anonymous,,,Man,Asian;,,Electrical and Computer Engineering,2nd year,"I have heard of this service, but never used it.","I have heard of this service, but never used it.",I've never heard of this service.,"I have heard of this service, but never used it.",I've never used this service.,I've never used this service.,I've never used this service.,No,,,
25,2/15/24 12:13:13,2/15/24 12:14:17,anonymous,,,Man,Asian;,,Computer Science and Engineering,4th year,I've never heard of this service.,"I have heard of this service, but never used it.",I've never heard of this service.,I've never heard of this service.,I've never used this service.,I've never used this service.,I've never used this service.,Yes,Yes,No,
26,2/15/24 12:14:12,2/15/24 12:15:35,anonymous,,,Woman,Asian;,Transfer Student;,Data Science,4th year,I've never heard of this service.,I have heard of this service and used it.,I've never heard of this service.,"I have heard of this service, but never used it.",This service somewhat reduced my food insecurity.,I've never used this service.,I've never used this service.,No,,,
27,2/15/24 12:17:34,2/15/24 12:18:59,anonymous,,,Man,Asian;,Transfer Student;,Computer Science and Engineering,4th year,I have heard of this service and used it.,I have heard of this service and used it.,I've never heard of this service.,I have heard of this service and used it.,I was not food insecure when I used this service.,This service greatly reduced my food insecurity.,I was not food insecure when I used this service.,Yes,Yes,No,No
28,2/15/24 12:20:06,2/15/24 12:20:59,anonymous,,,Woman,White;,LGBTQIA+;,Cognitive Science,3rd year ,"I have heard of this service, but never used it.",I have heard of this service and used it.,"I have heard of this service, but never used it.",I have heard of this service and used it.,This service somewhat reduced my food insecurity.,I've never used this service.,This service greatly reduced my food insecurity.,Yes,Yes,No,
29,2/15/24 12:21:32,2/15/24 12:22:12,anonymous,,,Woman,Asian;,LGBTQIA+;First Generation Student;,Urban Studies and Planning,3rd year ,I have heard of this service and used it.,I have heard of this service and used it.,I have heard of this service and used it.,I have heard of this service and used it.,This service somewhat reduced my food insecurity.,This service somewhat reduced my food insecurity.,This service greatly reduced my food insecurity.,Yes,Yes,"Yes, through the assistance form or email",
